Week of,Weekly Imports, , , 
11/29/2019,8351,,,
11/22/2019,8798,,,
11/15/2019,8101,,,
11/8/2019,8166,,,
11/1/2019,8463,,,
10/25/2019,9201,,,
10/18/2019,7998,,,
10/11/2019,8202,,,
10/4/2019,8590,,,
9/27/2019,8274,,,
9/20/2019,8788,,,
9/13/2019,8909,,,
9/6/2019,8541,,,
8/30/2019,9165,,,
8/23/2019,8574,,,
8/16/2019,9441,,,
8/9/2019,10358,,,
8/2/2019,9764,,,
7/26/2019,9333,,,
7/19/2019,9633,,,
7/12/2019,9225,,,
7/5/2019,9988,,,
6/28/2019,9272,,,
6/21/2019,8701,,,
6/14/2019,9571,,,
6/7/2019,10172,,,
5/31/2019,10533,,,
5/24/2019,9424,,,
5/17/2019,9700,,,
5/10/2019,9769,,,
5/3/2019,9227,,,
4/26/2019,9668,,,
4/19/2019,10000,,,
4/12/2019,8706,,,
4/5/2019,8635,,,
3/29/2019,8870,,,
3/22/2019,8761,,,
3/15/2019,9048,,,
3/8/2019,8898,,,
3/1/2019,8911,,,
2/22/2019,8002,,,
2/15/2019,9436,,,
2/8/2019,8172,,,
2/1/2019,9908,,,
1/25/2019,8707,,,
1/18/2019,10312,,,
1/11/2019,9922,,,
1/4/2019,9931,,,
12/28/2018,9008,,,
12/21/2018,9498,,,
12/14/2018,9235,,,
12/7/2018,9136,,,
11/30/2018,8838,,,
11/23/2018,10096,,,
11/16/2018,9386,,,
11/9/2018,9093,,,
11/2/2018,9443,,,
10/26/2018,9043,,,
10/19/2018,9383,,,
10/12/2018,9723,,,
10/5/2018,9805,,,
9/28/2018,10463,,,
9/21/2018,10082,,,
9/14/2018,10353,,,
9/7/2018,10519,,,
8/31/2018,10024,,,
8/24/2018,10158,,,
8/17/2018,10121,,,
8/10/2018,11121,,,
8/3/2018,10225,,,
7/27/2018,10045,,,
7/20/2018,10255,,,
7/13/2018,11121,,,
7/6/2018,9324,,,
6/29/2018,11382,,,
6/22/2018,10400,,,
6/15/2018,10139,,,
6/8/2018,10712,,,
6/1/2018,10207,,,
5/25/2018,10291,,,
5/18/2018,11018,,,
5/11/2018,9773,,,
5/4/2018,9855,,,
4/27/2018,10779,,,
4/20/2018,10520,,,
4/13/2018,9770,,,
4/6/2018,10554,,,
3/30/2018,10604,,,
3/23/2018,10314,,,
3/16/2018,8934,,,
3/9/2018,9582,,,
3/2/2018,10587,,,
2/23/2018,9105,,,
2/16/2018,8937,,,
2/9/2018,9834,,,
2/2/2018,10163,,,
1/26/2018,11245,,,
1/19/2018,10290,,,
1/12/2018,9535,,,
1/5/2018,9592,,,
12/29/2017,9843,,,
12/22/2017,10157,,,
12/15/2017,10315,,,
12/8/2017,9623,,,
12/1/2017,9170,,,
11/24/2017,9100,,,
11/17/2017,9795,,,
11/10/2017,9981,,,
11/3/2017,9550,,,
10/27/2017,9629,,,
10/20/2017,9819,,,
10/13/2017,9716,,,
10/6/2017,9801,,,
9/29/2017,9774,,,
9/22/2017,10342,,,
9/15/2017,9422,,,
9/8/2017,8433,,,
9/1/2017,8913,,,
8/25/2017,10496,,,
8/18/2017,10662,,,
8/11/2017,10266,,,
8/4/2017,10368,,,
7/28/2017,10079,,,
7/21/2017,10128,,,
7/14/2017,9972,,,
7/7/2017,9421,,,
6/30/2017,10033,,,
6/23/2017,9832,,,
6/16/2017,10142,,,
6/9/2017,9816,,,
6/2/2017,10633,,,
5/26/2017,10222,,,
5/19/2017,10494,,,
5/12/2017,10636,,,
5/5/2017,10179,,,
4/28/2017,10297,,,
4/21/2017,11280,,,
4/14/2017,9793,,,
4/7/2017,9333,,,
3/31/2017,10022,,,
3/24/2017,10604,,,
3/17/2017,10284,,,
3/10/2017,9558,,,
3/3/2017,10446,,,
2/24/2017,9911,,,
2/17/2017,9485,,,
2/10/2017,10479,,,
2/3/2017,11916,,,
1/27/2017,10302,,,
1/20/2017,10290,,,
1/13/2017,10655,,,
1/6/2017,11121,,,
12/30/2016,9428,,,
12/23/2016,9876,,,
12/16/2016,10225,,,
12/9/2016,9344,,,
12/2/2016,10515,,,
11/25/2016,10061,,,
11/18/2016,9951,,,
11/11/2016,10907,,,
11/4/2016,9232,,,
10/28/2016,10957,,,
10/21/2016,9068,,,
10/14/2016,9127,,,
10/7/2016,9866,,,
9/30/2016,9968,,,
9/23/2016,9978,,,
9/16/2016,10343,,,
9/9/2016,10262,,,
9/2/2016,9103,,,
8/26/2016,11036,,,
8/19/2016,11169,,,
8/12/2016,10364,,,
8/5/2016,10607,,,
7/29/2016,10918,,,
7/22/2016,10796,,,
7/15/2016,10580,,,
7/8/2016,10114,,,
7/1/2016,10568,,,
6/24/2016,10466,,,
6/17/2016,10721,,,
6/10/2016,10048,,,
6/3/2016,10031,,,
5/27/2016,9898,,,
5/20/2016,9944,,,
5/13/2016,9787,,,
5/6/2016,9697,,,
4/29/2016,9858,,,
4/22/2016,10044,,,
4/15/2016,10026,,,
4/8/2016,10009,,,
4/1/2016,9468,,,
3/25/2016,9470,,,
3/18/2016,10254,,,
3/11/2016,9647,,,
3/4/2016,9989,,,
2/26/2016,10209,,,
2/19/2016,9800,,,
2/12/2016,10231,,,
2/5/2016,9043,,,
1/29/2016,10330,,,
1/22/2016,10008,,,
1/15/2016,10042,,,
1/8/2016,9861,,,
1/1/2016,9103,,,
12/25/2015,9462,,,
12/18/2015,8910,,,
12/11/2015,10429,,,
12/4/2015,10095,,,
11/27/2015,9416,,,
11/20/2015,9025,,,
11/13/2015,8437,,,
11/6/2015,9093,,,
10/30/2015,8155,,,
10/23/2015,8851,,,
10/16/2015,9165,,,
10/9/2015,9410,,,
10/2/2015,8802,,,
9/25/2015,9645,,,
9/18/2015,9123,,,
9/11/2015,8847,,,
9/4/2015,9371,,,
8/28/2015,9973,,,
8/21/2015,9247,,,
8/14/2015,10652,,,
8/7/2015,9917,,,
7/31/2015,9107,,,
7/24/2015,9711,,,
7/17/2015,10200,,,
7/10/2015,9453,,,
7/3/2015,9622,,,
6/26/2015,10067,,,
6/19/2015,8865,,,
6/12/2015,9372,,,
6/5/2015,8527,,,
5/29/2015,9105,,,
5/22/2015,8869,,,
5/15/2015,9427,,,
5/8/2015,9271,,,
5/1/2015,8076,,,
4/24/2015,9976,,,
4/17/2015,9941,,,
4/10/2015,9238,,,
4/3/2015,10306,,,
3/27/2015,9178,,,
3/20/2015,9216,,,
3/13/2015,9730,,,
3/6/2015,8344,,,
2/27/2015,9395,,,
2/20/2015,9563,,,
2/13/2015,9047,,,
2/6/2015,9198,,,
1/30/2015,9463,,,
1/23/2015,9841,,,
1/16/2015,9367,,,
1/9/2015,9396,,,
1/2/2015,9520,,,
12/26/2014,9144,,,
12/19/2014,10718,,,
12/12/2014,9445,,,
12/5/2014,9218,,,
11/28/2014,9060,,,
11/21/2014,8976,,,
11/14/2014,9203,,,
11/7/2014,8649,,,
10/31/2014,8607,,,
10/24/2014,8768,,,
10/17/2014,8747,,,
10/10/2014,9113,,,
10/3/2014,9197,,,
9/26/2014,8550,,,
9/19/2014,8504,,,
9/12/2014,9614,,,
9/5/2014,9259,,,
8/29/2014,9651,,,
8/22/2014,8881,,,
8/15/2014,9737,,,
8/8/2014,9763,,,
8/1/2014,8862,,,
7/25/2014,9419,,,
7/18/2014,9195,,,
7/11/2014,9102,,,
7/4/2014,9088,,,
6/27/2014,8800,,,
6/20/2014,8953,,,
6/13/2014,9272,,,
6/6/2014,8828,,,
5/30/2014,9458,,,
5/23/2014,9826,,,
5/16/2014,8709,,,
5/9/2014,9292,,,
5/2/2014,8857,,,
4/25/2014,9328,,,
4/18/2014,9667,,,
4/11/2014,10289,,,
4/4/2014,9119,,,
3/28/2014,8501,,,
3/21/2014,9504,,,
3/14/2014,9124,,,
3/7/2014,9155,,,
2/28/2014,9014,,,
2/21/2014,8638,,,
2/14/2014,9077,,,
2/7/2014,9700,,,
1/31/2014,8849,,,
1/24/2014,9914,,,
1/17/2014,9203,,,
1/10/2014,8267,,,
1/3/2014,9383,,,
12/27/2013,8818,,,
12/20/2013,9145,,,
12/13/2013,9739,,,
12/6/2013,8413,,,
11/29/2013,9786,,,
11/22/2013,9496,,,
11/15/2013,9442,,,
11/8/2013,9803,,,
11/1/2013,9301,,,
10/25/2013,9595,,,
10/18/2013,9389,,,
10/11/2013,10122,,,
10/4/2013,10037,,,
9/27/2013,10150,,,
9/20/2013,10076,,,
9/13/2013,9465,,,
9/6/2013,9523,,,
8/30/2013,10206,,,
8/23/2013,10405,,,
8/16/2013,9688,,,
8/9/2013,9691,,,
8/2/2013,10149,,,
7/26/2013,10208,,,
7/19/2013,10011,,,
7/12/2013,9903,,,
7/5/2013,9060,,,
6/28/2013,9150,,,
6/21/2013,10952,,,
6/14/2013,10208,,,
6/7/2013,9977,,,
5/31/2013,9311,,,
5/24/2013,10090,,,
5/17/2013,10403,,,
5/10/2013,9559,,,
5/3/2013,10213,,,
4/26/2013,10529,,,
4/19/2013,9621,,,
4/12/2013,9699,,,
4/5/2013,9832,,,
3/29/2013,9783,,,
3/22/2013,9723,,,
3/15/2013,8878,,,
3/8/2013,9735,,,
3/1/2013,9335,,,
2/22/2013,9738,,,
2/15/2013,9616,,,
2/8/2013,9579,,,
2/1/2013,9330,,,
1/25/2013,10203,,,
1/18/2013,9891,,,
1/11/2013,9808,,,
1/4/2013,10436,,,
12/28/2012,9037,,,
12/21/2012,10273,,,
12/14/2012,10819,,,
12/7/2012,10772,,,
11/30/2012,10506,,,
11/23/2012,9993,,,
11/16/2012,9885,,,
11/9/2012,10027,,,
11/2/2012,9772,,,
10/26/2012,9932,,,
10/19/2012,11166,,,
10/12/2012,10544,,,
10/5/2012,9753,,,
9/28/2012,10097,,,
9/21/2012,9642,,,
9/14/2012,12017,,,
9/7/2012,10794,,,
8/31/2012,10351,,,
8/24/2012,11605,,,
8/17/2012,10099,,,
8/10/2012,11129,,,
8/3/2012,10563,,,
7/27/2012,10129,,,
7/20/2012,12213,,,
7/13/2012,10658,,,
7/6/2012,10787,,,
6/29/2012,11068,,,
6/22/2012,11196,,,
6/15/2012,11865,,,
6/8/2012,11329,,,
6/1/2012,10917,,,
5/25/2012,10890,,,
5/18/2012,10514,,,
5/11/2012,11177,,,
5/4/2012,10610,,,
4/27/2012,10631,,,
4/20/2012,10625,,,
4/13/2012,10392,,,
4/6/2012,10350,,,
3/30/2012,11812,,,
3/23/2012,11039,,,
3/16/2012,10053,,,
3/9/2012,10487,,,
3/2/2012,10504,,,
2/24/2012,10879,,,
2/17/2012,11187,,,
2/10/2012,10610,,,
2/3/2012,10501,,,
1/27/2012,11308,,,
1/20/2012,11054,,,
1/13/2012,10136,,,
1/6/2012,11710,,,
12/30/2011,10898,,,
12/23/2011,11240,,,
12/16/2011,9683,,,
12/9/2011,11105,,,
12/2/2011,12089,,,
11/25/2011,11369,,,
11/18/2011,10830,,,
11/11/2011,10404,,,
11/4/2011,10637,,,
10/28/2011,11246,,,
10/21/2011,11377,,,
10/14/2011,9334,,,
10/7/2011,11042,,,
9/30/2011,10816,,,
9/23/2011,11622,,,
9/16/2011,10455,,,
9/9/2011,10473,,,
9/2/2011,10404,,,
8/26/2011,11521,,,
8/19/2011,11169,,,
8/12/2011,11245,,,
8/5/2011,11127,,,
7/29/2011,11390,,,
7/22/2011,12098,,,
7/15/2011,11520,,,
7/8/2011,11401,,,
7/1/2011,11977,,,
6/24/2011,11114,,,
6/17/2011,11611,,,
6/10/2011,11040,,,
6/3/2011,11367,,,
5/27/2011,12478,,,
5/20/2011,12246,,,
5/13/2011,10830,,,
5/6/2011,11583,,,
4/29/2011,11785,,,
4/22/2011,12353,,,
4/15/2011,10657,,,
4/8/2011,11007,,,
4/1/2011,11578,,,
3/25/2011,11518,,,
3/18/2011,11566,,,
3/11/2011,10710,,,
3/4/2011,10722,,,
2/25/2011,10226,,,
2/18/2011,10341,,,
2/11/2011,10796,,,
2/4/2011,11857,,,
1/28/2011,11916,,,
1/21/2011,11939,,,
1/14/2011,11725,,,
1/7/2011,11564,,,
12/31/2010,10186,,,
12/24/2010,11478,,,
12/17/2010,11695,,,
12/10/2010,10045,,,
12/3/2010,11690,,,
11/26/2010,10587,,,
11/19/2010,11508,,,
11/12/2010,10186,,,
11/5/2010,10457,,,
10/29/2010,10942,,,
10/22/2010,12171,,,
10/15/2010,11054,,,
10/8/2010,10447,,,
10/1/2010,11261,,,
9/24/2010,11594,,,
9/17/2010,11817,,,
9/10/2010,11268,,,
9/3/2010,11683,,,
8/27/2010,12424,,,
8/20/2010,12877,,,
8/13/2010,12473,,,
8/6/2010,12213,,,
7/30/2010,12502,,,
7/23/2010,13588,,,
7/16/2010,12412,,,
7/9/2010,11627,,,
7/2/2010,12440,,,
6/25/2010,12095,,,
6/18/2010,12436,,,
6/11/2010,11806,,,
6/4/2010,11550,,,
5/28/2010,12029,,,
5/21/2010,12750,,,
5/14/2010,12093,,,
5/7/2010,11845,,,
4/30/2010,13054,,,
4/23/2010,12504,,,
4/16/2010,12492,,,
4/9/2010,11057,,,
4/2/2010,12323,,,
3/26/2010,11630,,,
3/19/2010,11463,,,
3/12/2010,10591,,,
3/5/2010,11064,,,
2/26/2010,11952,,,
2/19/2010,11829,,,
2/12/2010,10900,,,
2/5/2010,11736,,,
1/29/2010,11373,,,
1/22/2010,10739,,,
1/15/2010,11155,,,
1/8/2010,11621,,,
1/1/2010,10952,,,
12/25/2009,10414,,,
12/18/2009,10129,,,
12/11/2009,10405,,,
12/4/2009,10647,,,
11/27/2009,11556,,,
11/20/2009,11720,,,
11/13/2009,11027,,,
11/6/2009,11170,,,
10/30/2009,10727,,,
10/23/2009,11433,,,
10/16/2009,11091,,,
10/9/2009,11265,,,
10/2/2009,12000,,,
9/25/2009,12227,,,
9/18/2009,12386,,,
9/11/2009,11251,,,
9/4/2009,11654,,,
8/28/2009,11794,,,
8/21/2009,11819,,,
8/14/2009,10329,,,
8/7/2009,11801,,,
7/31/2009,11630,,,
7/24/2009,12417,,,
7/17/2009,12077,,,
7/10/2009,12098,,,
7/3/2009,12092,,,
6/26/2009,11883,,,
6/19/2009,11668,,,
6/12/2009,11870,,,
6/5/2009,11522,,,
5/29/2009,12577,,,
5/22/2009,11945,,,
5/15/2009,11550,,,
5/8/2009,11164,,,
5/1/2009,12446,,,
4/24/2009,12444,,,
4/17/2009,12795,,,
4/10/2009,12261,,,
4/3/2009,12323,,,
3/27/2009,12717,,,
3/20/2009,12595,,,
3/13/2009,12164,,,
3/6/2009,12388,,,
2/27/2009,12523,,,
2/20/2009,11577,,,
2/13/2009,11497,,,
2/6/2009,12839,,,
1/30/2009,13122,,,
1/23/2009,13294,,,
1/16/2009,13585,,,
1/9/2009,12729,,,
1/2/2009,13698,,,
12/26/2008,12388,,,
12/19/2008,12780,,,
12/12/2008,12611,,,
12/5/2008,12773,,,
11/28/2008,12617,,,
11/21/2008,14007,,,
11/14/2008,12532,,,
11/7/2008,12086,,,
10/31/2008,13197,,,
10/24/2008,13320,,,
10/17/2008,13788,,,
10/10/2008,13671,,,
10/3/2008,14191,,,
9/26/2008,12666,,,
9/19/2008,10507,,,
9/12/2008,11370,,,
9/5/2008,11389,,,
8/29/2008,12634,,,
8/22/2008,13117,,,
8/15/2008,13917,,,
8/8/2008,12257,,,
8/1/2008,13333,,,
7/25/2008,13215,,,
7/18/2008,12897,,,
7/11/2008,13943,,,
7/4/2008,12538,,,
6/27/2008,13747,,,
6/20/2008,13547,,,
6/13/2008,13334,,,
6/6/2008,13103,,,
5/30/2008,13061,,,
5/23/2008,11875,,,
5/16/2008,12744,,,
5/9/2008,13393,,,
5/2/2008,14024,,,
4/25/2008,13989,,,
4/18/2008,13661,,,
4/11/2008,12029,,,
4/4/2008,12148,,,
3/28/2008,13473,,,
3/21/2008,12134,,,
3/14/2008,12582,,,
3/7/2008,13864,,,
2/29/2008,12579,,,
2/22/2008,13502,,,
2/15/2008,13672,,,
2/8/2008,13100,,,
2/1/2008,14730,,,
1/25/2008,13389,,,
1/18/2008,13754,,,
1/11/2008,13538,,,
1/4/2008,12904,,,
12/28/2007,13301,,,
12/21/2007,12907,,,
12/14/2007,12618,,,
12/7/2007,13501,,,
11/30/2007,13173,,,
11/23/2007,13421,,,
11/16/2007,13345,,,
11/9/2007,13647,,,
11/2/2007,13323,,,
10/26/2007,13108,,,
10/19/2007,12298,,,
10/12/2007,14244,,,
10/5/2007,13563,,,
9/28/2007,13518,,,
9/21/2007,13763,,,
9/14/2007,12949,,,
9/7/2007,12754,,,
8/31/2007,13304,,,
8/24/2007,13621,,,
8/17/2007,13998,,,
8/10/2007,13121,,,
8/3/2007,13643,,,
7/27/2007,13545,,,
7/20/2007,14291,,,
7/13/2007,13881,,,
7/6/2007,14019,,,
6/29/2007,14539,,,
6/22/2007,13901,,,
6/15/2007,14625,,,
6/8/2007,13805,,,
6/1/2007,14220,,,
5/25/2007,14028,,,
5/18/2007,14474,,,
5/11/2007,14591,,,
5/4/2007,14581,,,
4/27/2007,13782,,,
4/20/2007,13713,,,
4/13/2007,13451,,,
4/6/2007,13225,,,
3/30/2007,13701,,,
3/23/2007,13440,,,
3/16/2007,13787,,,
3/9/2007,13481,,,
3/2/2007,11610,,,
2/23/2007,12951,,,
2/16/2007,13082,,,
2/9/2007,12838,,,
2/2/2007,12780,,,
1/26/2007,13573,,,
1/19/2007,13232,,,
1/12/2007,14324,,,
1/5/2007,13041,,,
12/29/2006,13125,,,
12/22/2006,12106,,,
12/15/2006,11764,,,
12/8/2006,12915,,,
12/1/2006,13215,,,
11/24/2006,12755,,,
11/17/2006,13684,,,
11/10/2006,12406,,,
11/3/2006,12697,,,
10/27/2006,13282,,,
10/20/2006,12721,,,
10/13/2006,13277,,,
10/6/2006,13384,,,
9/29/2006,13216,,,
9/22/2006,14781,,,
9/15/2006,13923,,,
9/8/2006,14086,,,
9/1/2006,13698,,,
8/25/2006,14831,,,
8/18/2006,14574,,,
8/11/2006,13851,,,
8/4/2006,13596,,,
7/28/2006,15012,,,
7/21/2006,13932,,,
7/14/2006,14139,,,
7/7/2006,13268,,,
6/30/2006,13827,,,
6/23/2006,13648,,,
6/16/2006,14724,,,
6/9/2006,14323,,,
6/2/2006,14470,,,
5/26/2006,15119,,,
5/19/2006,13748,,,
5/12/2006,13869,,,
5/5/2006,14246,,,
4/28/2006,12737,,,
4/21/2006,13806,,,
4/14/2006,12501,,,
4/7/2006,12727,,,
3/31/2006,12736,,,
3/24/2006,13129,,,
3/17/2006,12632,,,
3/10/2006,13261,,,
3/3/2006,13121,,,
2/24/2006,13268,,,
2/17/2006,13799,,,
2/10/2006,14340,,,
2/3/2006,13364,,,
1/27/2006,12914,,,
1/20/2006,13061,,,
1/13/2006,14078,,,
1/6/2006,13754,,,
12/30/2005,13166,,,
12/23/2005,13663,,,
12/16/2005,13544,,,
12/9/2005,14648,,,
12/2/2005,13884,,,
11/25/2005,13465,,,
11/18/2005,13798,,,
11/11/2005,13768,,,
11/4/2005,15217,,,
10/28/2005,14087,,,
10/21/2005,14263,,,
10/14/2005,14175,,,
10/7/2005,13033,,,
9/30/2005,12665,,,
9/23/2005,13294,,,
9/16/2005,13704,,,
9/9/2005,12601,,,
9/2/2005,12435,,,
8/26/2005,14124,,,
8/19/2005,14040,,,
8/12/2005,13333,,,
8/5/2005,14485,,,
