Week of,Weekly Imports, , , 
7/29/2005,14183,,,
7/22/2005,12918,,,
7/15/2005,13927,,,
7/8/2005,12993,,,
7/1/2005,13814,,,
6/24/2005,13834,,,
6/17/2005,13134,,,
6/10/2005,13709,,,
6/3/2005,12969,,,
5/27/2005,13687,,,
5/20/2005,13633,,,
5/13/2005,13891,,,
5/6/2005,13340,,,
4/29/2005,13331,,,
4/22/2005,13815,,,
4/15/2005,12634,,,
4/8/2005,12786,,,
4/1/2005,12365,,,
3/25/2005,13516,,,
3/18/2005,13412,,,
3/11/2005,12886,,,
3/4/2005,13037,,,
2/25/2005,13370,,,
2/18/2005,12886,,,
2/11/2005,13286,,,
2/4/2005,13059,,,
1/28/2005,12936,,,
1/21/2005,13405,,,
1/14/2005,12752,,,
1/7/2005,12144,,,
12/31/2004,12647,,,
12/24/2004,12461,,,
12/17/2004,13086,,,
12/10/2004,12907,,,
12/3/2004,14018,,,
11/26/2004,12974,,,
11/19/2004,12944,,,
11/12/2004,13300,,,
11/5/2004,13398,,,
10/29/2004,13407,,,
10/22/2004,13179,,,
10/15/2004,13146,,,
10/8/2004,13122,,,
10/1/2004,13282,,,
9/24/2004,13231,,,
9/17/2004,11175,,,
9/10/2004,12445,,,
9/3/2004,13490,,,
8/27/2004,13141,,,
8/20/2004,13476,,,
8/13/2004,13044,,,
8/6/2004,12523,,,
7/30/2004,13228,,,
7/23/2004,14364,,,
7/16/2004,12286,,,
7/9/2004,12599,,,
7/2/2004,12833,,,
6/25/2004,13532,,,
6/18/2004,12743,,,
6/11/2004,12643,,,
6/4/2004,13145,,,
5/28/2004,13714,,,
5/21/2004,13004,,,
5/14/2004,12986,,,
5/7/2004,12679,,,
4/30/2004,12137,,,
4/23/2004,13160,,,
4/16/2004,12941,,,
4/9/2004,12112,,,
4/2/2004,12810,,,
3/26/2004,12938,,,
3/19/2004,12773,,,
3/12/2004,12486,,,
3/5/2004,13073,,,
2/27/2004,12575,,,
2/20/2004,12623,,,
2/13/2004,13119,,,
2/6/2004,10643,,,
1/30/2004,13188,,,
1/23/2004,11234,,,
1/16/2004,12604,,,
1/9/2004,11634,,,
1/2/2004,12078,,,
12/26/2003,11899,,,
12/19/2003,11756,,,
12/12/2003,11198,,,
12/5/2003,11474,,,
11/28/2003,12032,,,
11/21/2003,11555,,,
11/14/2003,12391,,,
11/7/2003,12314,,,
10/31/2003,12632,,,
10/24/2003,12305,,,
10/17/2003,11558,,,
10/10/2003,12371,,,
10/3/2003,12474,,,
9/26/2003,12123,,,
9/19/2003,12988,,,
9/12/2003,13334,,,
9/5/2003,12037,,,
8/29/2003,13226,,,
8/22/2003,12666,,,
8/15/2003,12779,,,
8/8/2003,12243,,,
8/1/2003,13022,,,
7/25/2003,12915,,,
7/18/2003,11970,,,
7/11/2003,12432,,,
7/4/2003,12250,,,
6/27/2003,12259,,,
6/20/2003,12175,,,
6/13/2003,13187,,,
6/6/2003,12656,,,
5/30/2003,13079,,,
5/23/2003,12679,,,
5/16/2003,12914,,,
5/9/2003,11445,,,
5/2/2003,12578,,,
4/25/2003,12138,,,
4/18/2003,12920,,,
4/11/2003,11819,,,
4/4/2003,11457,,,
3/28/2003,12719,,,
3/21/2003,13064,,,
3/14/2003,11613,,,
3/7/2003,9840,,,
2/28/2003,11550,,,
2/21/2003,10602,,,
2/14/2003,11039,,,
2/7/2003,9777,,,
1/31/2003,10450,,,
1/24/2003,11211,,,
1/17/2003,10841,,,
1/10/2003,11097,,,
1/3/2003,10569,,,
12/27/2002,9847,,,
12/20/2002,11554,,,
12/13/2002,11822,,,
12/6/2002,12288,,,
11/29/2002,12176,,,
11/22/2002,11831,,,
11/15/2002,11988,,,
11/8/2002,11465,,,
11/1/2002,11840,,,
10/25/2002,11442,,,
10/18/2002,11909,,,
10/11/2002,11315,,,
10/4/2002,10870,,,
9/27/2002,10722,,,
9/20/2002,10967,,,
9/13/2002,10664,,,
9/6/2002,10911,,,
8/30/2002,11349,,,
8/23/2002,11714,,,
8/16/2002,11512,,,
8/9/2002,11116,,,
8/2/2002,11093,,,
7/26/2002,11340,,,
7/19/2002,11316,,,
7/12/2002,11312,,,
7/5/2002,10159,,,
6/28/2002,12022,,,
6/21/2002,11800,,,
6/14/2002,11198,,,
6/7/2002,10868,,,
5/31/2002,11055,,,
5/24/2002,11438,,,
5/17/2002,12141,,,
5/10/2002,11010,,,
5/3/2002,11868,,,
4/26/2002,11739,,,
4/19/2002,11438,,,
4/12/2002,10500,,,
4/5/2002,11493,,,
3/29/2002,11529,,,
3/22/2002,10061,,,
3/15/2002,10398,,,
3/8/2002,10178,,,
3/1/2002,10433,,,
2/22/2002,10043,,,
2/15/2002,10533,,,
2/8/2002,11205,,,
2/1/2002,10799,,,
1/25/2002,10828,,,
1/18/2002,11031,,,
1/11/2002,10545,,,
1/4/2002,10995,,,
12/28/2001,10290,,,
12/21/2001,10756,,,
12/14/2001,11119,,,
12/7/2001,10815,,,
11/30/2001,12104,,,
11/23/2001,10553,,,
11/16/2001,11220,,,
11/9/2001,11749,,,
11/2/2001,11701,,,
10/26/2001,11452,,,
10/19/2001,11495,,,
10/12/2001,11117,,,
10/5/2001,11744,,,
9/28/2001,11862,,,
9/21/2001,11053,,,
9/14/2001,10579,,,
9/7/2001,11261,,,
8/31/2001,10502,,,
8/24/2001,11468,,,
8/17/2001,10972,,,
8/10/2001,10278,,,
8/3/2001,11134,,,
7/27/2001,11285,,,
7/20/2001,11993,,,
7/13/2001,12094,,,
7/6/2001,10857,,,
6/29/2001,11825,,,
6/22/2001,11419,,,
6/15/2001,10998,,,
6/8/2001,10764,,,
6/1/2001,11831,,,
5/25/2001,11326,,,
5/18/2001,12676,,,
5/11/2001,11204,,,
5/4/2001,12316,,,
4/27/2001,12908,,,
4/20/2001,11580,,,
4/13/2001,11907,,,
4/6/2001,11479,,,
3/30/2001,11370,,,
3/23/2001,12145,,,
3/16/2001,11253,,,
3/9/2001,12854,,,
3/2/2001,11754,,,
2/23/2001,11808,,,
2/16/2001,10204,,,
2/9/2001,11558,,,
2/2/2001,12277,,,
1/26/2001,11859,,,
1/19/2001,10365,,,
1/12/2001,11345,,,
1/5/2001,12962,,,
12/29/2000,11442,,,
12/22/2000,10280,,,
12/15/2000,12405,,,
12/8/2000,10912,,,
12/1/2000,10980,,,
11/24/2000,9998,,,
11/17/2000,10592,,,
11/10/2000,10975,,,
11/3/2000,11907,,,
10/27/2000,11218,,,
10/20/2000,12098,,,
10/13/2000,10959,,,
10/6/2000,11194,,,
9/29/2000,11166,,,
9/22/2000,11795,,,
9/15/2000,10823,,,
9/8/2000,11531,,,
9/1/2000,11583,,,
8/25/2000,11043,,,
8/18/2000,11239,,,
8/11/2000,11582,,,
8/4/2000,11679,,,
7/28/2000,10883,,,
7/21/2000,11766,,,
7/14/2000,11068,,,
7/7/2000,11599,,,
6/30/2000,10876,,,
6/23/2000,11777,,,
6/16/2000,11283,,,
6/9/2000,10892,,,
6/2/2000,11048,,,
5/26/2000,10717,,,
5/19/2000,11933,,,
5/12/2000,10517,,,
5/5/2000,11330,,,
4/28/2000,11117,,,
4/21/2000,11515,,,
4/14/2000,11006,,,
4/7/2000,10799,,,
3/31/2000,11113,,,
3/24/2000,10150,,,
3/17/2000,10755,,,
3/10/2000,10160,,,
3/3/2000,10664,,,
2/25/2000,10220,,,
2/18/2000,10711,,,
2/11/2000,10242,,,
2/4/2000,10279,,,
1/28/2000,9457,,,
1/21/2000,10558,,,
1/14/2000,9229,,,
1/7/2000,10306,,,
12/31/1999,10030,,,
12/24/1999,10081,,,
12/17/1999,9696,,,
12/10/1999,9196,,,
12/3/1999,10303,,,
11/26/1999,9412,,,
11/19/1999,9777,,,
11/12/1999,10297,,,
11/5/1999,9913,,,
10/29/1999,10742,,,
10/22/1999,10008,,,
10/15/1999,11081,,,
10/8/1999,9925,,,
10/1/1999,10860,,,
9/24/1999,10514,,,
9/17/1999,10819,,,
9/10/1999,10000,,,
9/3/1999,10162,,,
8/27/1999,11219,,,
8/20/1999,10838,,,
8/13/1999,10432,,,
8/6/1999,10396,,,
7/30/1999,11364,,,
7/23/1999,11547,,,
7/16/1999,10919,,,
7/9/1999,10075,,,
7/2/1999,11219,,,
6/25/1999,10341,,,
6/18/1999,11280,,,
6/11/1999,10412,,,
6/4/1999,9927,,,
5/28/1999,11414,,,
5/21/1999,10591,,,
5/14/1999,10921,,,
5/7/1999,10744,,,
4/30/1999,10131,,,
4/23/1999,10593,,,
4/16/1999,10787,,,
4/9/1999,10560,,,
4/2/1999,10450,,,
3/26/1999,10900,,,
3/19/1999,9367,,,
3/12/1999,10680,,,
3/5/1999,10652,,,
2/26/1999,10901,,,
2/19/1999,10449,,,
2/12/1999,10479,,,
2/5/1999,10388,,,
1/29/1999,10189,,,
1/22/1999,10287,,,
1/15/1999,10763,,,
1/8/1999,9825,,,
1/1/1999,9434,,,
12/25/1998,10699,,,
12/18/1998,10939,,,
12/11/1998,11051,,,
12/4/1998,10889,,,
11/27/1998,9668,,,
11/20/1998,11034,,,
11/13/1998,9818,,,
11/6/1998,10455,,,
10/30/1998,10363,,,
10/23/1998,9982,,,
10/16/1998,9944,,,
10/9/1998,10704,,,
10/2/1998,10169,,,
9/25/1998,10900,,,
9/18/1998,9405,,,
9/11/1998,10455,,,
9/4/1998,10054,,,
8/28/1998,11234,,,
8/21/1998,10664,,,
8/14/1998,12191,,,
8/7/1998,10690,,,
7/31/1998,11094,,,
7/24/1998,10844,,,
7/17/1998,11111,,,
7/10/1998,10781,,,
7/3/1998,9508,,,
6/26/1998,12063,,,
6/19/1998,10012,,,
6/12/1998,10746,,,
6/5/1998,12066,,,
5/29/1998,10670,,,
5/22/1998,9645,,,
5/15/1998,10537,,,
5/8/1998,10641,,,
5/1/1998,10046,,,
4/24/1998,9642,,,
4/17/1998,12217,,,
4/10/1998,10093,,,
4/3/1998,10238,,,
3/27/1998,10893,,,
3/20/1998,9768,,,
3/13/1998,9670,,,
3/6/1998,9703,,,
2/27/1998,8506,,,
2/20/1998,8567,,,
2/13/1998,9884,,,
2/6/1998,9964,,,
1/30/1998,9407,,,
1/23/1998,9860,,,
1/16/1998,10666,,,
1/9/1998,10210,,,
1/2/1998,8749,,,
12/26/1997,8705,,,
12/19/1997,9916,,,
12/12/1997,8430,,,
12/5/1997,10024,,,
11/28/1997,9815,,,
11/21/1997,9170,,,
11/14/1997,10927,,,
11/7/1997,9051,,,
10/31/1997,9937,,,
10/24/1997,9277,,,
10/17/1997,9704,,,
10/10/1997,9989,,,
10/3/1997,11416,,,
9/26/1997,10782,,,
9/19/1997,10322,,,
9/12/1997,11035,,,
9/5/1997,9189,,,
8/29/1997,9745,,,
8/22/1997,10205,,,
8/15/1997,10686,,,
8/8/1997,10132,,,
8/1/1997,9672,,,
7/25/1997,10006,,,
7/18/1997,10493,,,
7/11/1997,9013,,,
7/4/1997,10952,,,
6/27/1997,9822,,,
6/20/1997,9134,,,
6/13/1997,11451,,,
6/6/1997,10811,,,
5/30/1997,10258,,,
5/23/1997,10444,,,
5/16/1997,9697,,,
5/9/1997,9711,,,
5/2/1997,9927,,,
4/25/1997,9853,,,
4/18/1997,10461,,,
4/11/1997,10054,,,
4/4/1997,10227,,,
3/28/1997,9467,,,
3/21/1997,9136,,,
3/14/1997,9717,,,
3/7/1997,9816,,,
2/28/1997,9585,,,
2/21/1997,8911,,,
2/14/1997,9121,,,
2/7/1997,10278,,,
1/31/1997,8665,,,
1/24/1997,10510,,,
1/17/1997,9316,,,
1/10/1997,9567,,,
1/3/1997,7944,,,
12/27/1996,9762,,,
12/20/1996,8536,,,
12/13/1996,9710,,,
12/6/1996,10349,,,
11/29/1996,7798,,,
11/22/1996,8652,,,
11/15/1996,8635,,,
11/8/1996,10221,,,
11/1/1996,9112,,,
10/25/1996,10292,,,
10/18/1996,10564,,,
10/11/1996,9284,,,
10/4/1996,9960,,,
9/27/1996,8191,,,
9/20/1996,9280,,,
9/13/1996,8960,,,
9/6/1996,9262,,,
8/30/1996,9275,,,
8/23/1996,9933,,,
8/16/1996,10415,,,
8/9/1996,9349,,,
8/2/1996,10306,,,
7/26/1996,9289,,,
7/19/1996,9411,,,
7/12/1996,9380,,,
7/5/1996,9313,,,
6/28/1996,9968,,,
6/21/1996,9648,,,
6/14/1996,10202,,,
6/7/1996,9343,,,
5/31/1996,9805,,,
5/24/1996,8779,,,
5/17/1996,9171,,,
5/10/1996,10824,,,
5/3/1996,8776,,,
4/26/1996,9568,,,
4/19/1996,8869,,,
4/12/1996,9691,,,
4/5/1996,9141,,,
3/29/1996,9445,,,
3/22/1996,8612,,,
3/15/1996,8705,,,
3/8/1996,8424,,,
3/1/1996,8208,,,
2/23/1996,7065,,,
2/16/1996,9069,,,
2/9/1996,8350,,,
2/2/1996,8888,,,
1/26/1996,8861,,,
1/19/1996,9217,,,
1/12/1996,9456,,,
1/5/1996,8233,,,
12/29/1995,8431,,,
12/22/1995,7844,,,
12/15/1995,8539,,,
12/8/1995,9940,,,
12/1/1995,8403,,,
11/24/1995,9126,,,
11/17/1995,10074,,,
11/10/1995,9401,,,
11/3/1995,7768,,,
10/27/1995,8249,,,
10/20/1995,9081,,,
10/13/1995,9249,,,
10/6/1995,7433,,,
9/29/1995,9221,,,
9/22/1995,8586,,,
9/15/1995,9448,,,
9/8/1995,10135,,,
9/1/1995,8556,,,
8/25/1995,8809,,,
8/18/1995,9452,,,
8/11/1995,9654,,,
8/4/1995,9068,,,
7/28/1995,9351,,,
7/21/1995,8301,,,
7/14/1995,9728,,,
7/7/1995,7739,,,
6/30/1995,9476,,,
6/23/1995,8129,,,
6/16/1995,10976,,,
6/9/1995,8250,,,
6/2/1995,8931,,,
5/26/1995,8556,,,
5/19/1995,9249,,,
5/12/1995,9152,,,
5/5/1995,6796,,,
4/28/1995,9335,,,
4/21/1995,9790,,,
4/14/1995,7142,,,
4/7/1995,8226,,,
3/31/1995,9322,,,
3/24/1995,7509,,,
3/17/1995,8161,,,
3/10/1995,9716,,,
3/3/1995,7443,,,
2/24/1995,7703,,,
2/17/1995,8054,,,
2/10/1995,9579,,,
2/3/1995,6841,,,
1/27/1995,7722,,,
1/20/1995,7860,,,
1/13/1995,8096,,,
1/6/1995,8559,,,
12/30/1994,8713,,,
12/23/1994,8219,,,
12/16/1994,8318,,,
12/9/1994,9015,,,
12/2/1994,7665,,,
11/25/1994,8720,,,
11/18/1994,9307,,,
11/11/1994,9459,,,
11/4/1994,8206,,,
10/28/1994,8272,,,
10/21/1994,8270,,,
10/14/1994,8671,,,
10/7/1994,8737,,,
9/30/1994,9786,,,
9/23/1994,8284,,,
9/16/1994,9840,,,
9/9/1994,8851,,,
9/2/1994,10585,,,
8/26/1994,8670,,,
8/19/1994,10027,,,
8/12/1994,9903,,,
8/5/1994,8411,,,
7/29/1994,9773,,,
7/22/1994,9605,,,
7/15/1994,9931,,,
7/8/1994,9763,,,
7/1/1994,8561,,,
6/24/1994,9689,,,
6/17/1994,10286,,,
6/10/1994,9218,,,
6/3/1994,8726,,,
5/27/1994,8760,,,
5/20/1994,8479,,,
5/13/1994,9044,,,
5/6/1994,9665,,,
4/29/1994,8488,,,
4/22/1994,9717,,,
4/15/1994,8305,,,
4/8/1994,8769,,,
4/1/1994,8638,,,
3/25/1994,7455,,,
3/18/1994,9690,,,
3/11/1994,8110,,,
3/4/1994,7851,,,
2/25/1994,7931,,,
2/18/1994,8733,,,
2/11/1994,7993,,,
2/4/1994,8910,,,
1/28/1994,7769,,,
1/21/1994,6910,,,
1/14/1994,7927,,,
1/7/1994,8058,,,
12/31/1993,7985,,,
12/24/1993,7131,,,
12/17/1993,8333,,,
12/10/1993,9202,,,
12/3/1993,9710,,,
11/26/1993,6960,,,
11/19/1993,8553,,,
11/12/1993,9359,,,
11/5/1993,7713,,,
10/29/1993,9346,,,
10/22/1993,8525,,,
10/15/1993,9346,,,
10/8/1993,8135,,,
10/1/1993,8139,,,
9/24/1993,8131,,,
9/17/1993,7871,,,
9/10/1993,8034,,,
9/3/1993,7863,,,
8/27/1993,9635,,,
8/20/1993,7483,,,
8/13/1993,8100,,,
8/6/1993,9073,,,
7/30/1993,8024,,,
7/23/1993,7201,,,
7/16/1993,9559,,,
7/9/1993,8268,,,
7/2/1993,7907,,,
6/25/1993,8342,,,
6/18/1993,9440,,,
6/11/1993,8657,,,
6/4/1993,7667,,,
5/28/1993,8683,,,
5/21/1993,7904,,,
5/14/1993,9061,,,
5/7/1993,8048,,,
4/30/1993,9418,,,
4/23/1993,8715,,,
4/16/1993,7976,,,
4/9/1993,8956,,,
4/2/1993,7501,,,
3/26/1993,9226,,,
3/19/1993,7426,,,
3/12/1993,8706,,,
3/5/1993,7165,,,
2/26/1993,8335,,,
2/19/1993,7574,,,
2/12/1993,8245,,,
2/5/1993,8280,,,
1/29/1993,8132,,,
1/22/1993,8423,,,
1/15/1993,7840,,,
1/8/1993,8824,,,
1/1/1993,7963,,,
12/25/1992,7110,,,
12/18/1992,8256,,,
12/11/1992,8353,,,
12/4/1992,8197,,,
11/27/1992,7999,,,
11/20/1992,8366,,,
11/13/1992,7003,,,
11/6/1992,8495,,,
10/30/1992,8563,,,
10/23/1992,7601,,,
10/16/1992,10208,,,
10/9/1992,8342,,,
10/2/1992,8092,,,
9/25/1992,7736,,,
9/18/1992,8437,,,
9/11/1992,8479,,,
9/4/1992,7426,,,
8/28/1992,7974,,,
8/21/1992,8085,,,
8/14/1992,9476,,,
8/7/1992,7492,,,
7/31/1992,8432,,,
7/24/1992,7832,,,
7/17/1992,8279,,,
7/10/1992,9540,,,
7/3/1992,7580,,,
6/26/1992,6779,,,
6/19/1992,7837,,,
6/12/1992,7633,,,
6/5/1992,8135,,,
5/29/1992,7355,,,
5/22/1992,8421,,,
5/15/1992,7527,,,
5/8/1992,7685,,,
5/1/1992,7830,,,
4/24/1992,7324,,,
4/17/1992,7796,,,
4/10/1992,8402,,,
4/3/1992,6990,,,
3/27/1992,7079,,,
3/20/1992,6808,,,
3/13/1992,7238,,,
3/6/1992,6586,,,
2/28/1992,8264,,,
2/21/1992,5921,,,
2/14/1992,7926,,,
2/7/1992,5775,,,
1/31/1992,7713,,,
1/24/1992,6803,,,
1/17/1992,7479,,,
1/10/1992,8059,,,
1/3/1992,6157,,,
12/27/1991,7714,,,
12/20/1991,7322,,,
12/13/1991,7950,,,
12/6/1991,8463,,,
11/29/1991,6384,,,
11/22/1991,7637,,,
11/15/1991,8220,,,
11/8/1991,7757,,,
11/1/1991,6717,,,
10/25/1991,7120,,,
10/18/1991,7539,,,
10/11/1991,7324,,,
10/4/1991,6943,,,
9/27/1991,7747,,,
9/20/1991,9087,,,
9/13/1991,7381,,,
9/6/1991,8393,,,
8/30/1991,7908,,,
8/23/1991,8413,,,
8/16/1991,9154,,,
8/9/1991,8072,,,
8/2/1991,7537,,,
7/26/1991,7152,,,
7/19/1991,8478,,,
7/12/1991,7274,,,
7/5/1991,6552,,,
6/28/1991,9091,,,
6/21/1991,7615,,,
6/14/1991,7989,,,
6/7/1991,8433,,,
5/31/1991,8805,,,
5/24/1991,7965,,,
5/17/1991,7470,,,
5/10/1991,8446,,,
5/3/1991,7088,,,
4/26/1991,7333,,,
4/19/1991,6505,,,
4/12/1991,7549,,,
4/5/1991,7285,,,
3/29/1991,6732,,,
3/22/1991,6741,,,
3/15/1991,6041,,,
3/8/1991,7127,,,
3/1/1991,6188,,,
2/22/1991,6221,,,
2/15/1991,6573,,,
2/8/1991,6877,,,
