company,"2014 sales
",2014 avg sales per unit,franchise units,company units,total units,total change from 2013
McDonald's,"$35,447.00","$2,500.00","12,836","1,514","14,350",72
Starbucks*1,"$12,688.90","$1,048.10","4,769","7,338","12,107",650
Subway*,"$11,900.00",$475.00,"27,205",0,"27,205",778
Burger King*,"$8,640.10","$1,210.00","7,090",52,"7,142",-13
Wendy's*,"$8,512.80","$1,594.00","4,895",885,"5,780",-41
Taco Bell2,"$8,200.00","$1,441.00","4,995",926,"5,921",152
Dunkin' Donuts*,"$7,175.00",$911.00,"8,047",35,"8,082",405
Chick-fil-A,"$5,782.20","$3,064.20","1,837",50,"1,887",112
Pizza Hut2,"$5,500.00",$843.00,"7,337",526,"7,863",17
Panera Bread,"$4,500.00","$2,500.00",955,925,"1,880",103
KFC2,"$4,200.00",$960.00,"4,164",206,"4,370",-121
Domino's,"$4,100.00",$809.20,"4,690",377,"5,067",81
Sonic Drive-In*,"$4,099.40","$1,153.00","3,128",389,"3,517",0
Chipotle*,"$4,049.10","$2,472.00",0,"1,755","1,755",183
Carl's Jr./Hardee's,"$3,569.70","$1,330.00","2,128",785,"2,913",55
Little Caesars*,"$3,231.90",$815.00,"3,478",547,"4,025",119
Dairy Queen,"$3,210.00","$1,268.10","4,510",2,"4,512",-18
Arby's,"$3,200.00",$983.00,"2,286",940,"3,226",-43
Jack in the Box,"$3,179.80","$1,412.00","1,819",431,"2,250",-1
Papa John's*,"$2,673.90","$1,060.00","2,564",686,"3,250",43
Popeyes Louisiana Kitchen*,"$2,433.60","$1,340.00","2,314",65,"2,379",154
Panda Express,"$2,246.40","$1,366.00",75,"1,633","1,708",101
Whataburger,"$1,801.10","$2,327.00",118,656,774,16
Jimmy John's,"$1,756.70",$898.80,"2,071",38,"2,109",307
Zaxby's,"$1,257.50","$2,030.00",546,114,660,63
Five Guys,"$1,208.30","$1,081.00",785,378,"1,163",45
Culver's,"$1,035.70","$2,015.70",521,7,528,33
Bojangles',"$1,033.20","$1,774.00",365,254,619,45
Steak 'n Shake,$955.80,"$1,800.00",116,414,530,7
Church's Chicken,$861.30,$737.50,907,261,"1,168",-36
Papa Murphy's,$849.70,$586.20,"1,370",91,"1,461",43
El Pollo Loco,$723.00,"$1,700.00",243,172,415,14
Checkers/Rally's*,$717.20,$908.00,471,331,802,20
Wingstop,$678.80,"$1,073.00",652,41,693,78
Qdoba,$669.40,"$1,070.00",328,310,638,23
Krispy Kreme*3,$659.60,"$2,480.00",167,111,278,24
Del Taco,$656.10,"$1,278.90",243,304,547,0
White Castle,$653.50,"$1,322.00",0,391,391,-9
Tim Hortons*,$636.50,"$1,143.00",881,3,884,25
Jason's Deli,$615.50,"$2,657.00",106,147,253,5
Boston Market,$602.00,"$1,314.00",3,453,456,-4
In-n-Out Burger*,$584.60,"$1,975.00",0,301,301,10
Moe's Southwest Grill,$571.30,"$1,092.90",576,4,580,53
Long John Silver's,$555.10,$681.10,815,0,815,-75
Firehouse Subs,$552.40,$700.90,818,32,850,128
Baskin-Robbins*,$544.00,$220.00,"2,478",6,"2,484",17
Jersey Mike's Subs*,$525.00,$667.00,823,34,857,144
Jamba Juice*,$512.70,$684.00,543,263,806,3
Captain D's,$499.90,$978.40,238,273,511,-1
Einstein Bros. Bagels,$496.00,$670.00,360,398,758,34